name,genre,email,location,nonprofit_interest,instagram,artist_bio,nonprofit_reasoning
Ryan Lee,Folk,ryan_lee@yahoo.com,"Urbana, IL",Environmental Conservation,ryan.lee,"Ryan Lee is a folk artist from Urbana, IL who weaves storytelling traditions with contemporary social commentary through acoustic melodies and heartfelt lyrics. Their music draws inspiration from midwest prairie landscapes and urban community experiences, creating authentic connections with audiences across diverse venues. With influences ranging from traditional American folk to modern indie-folk, Ryan Lee crafts songs that resonate with both intimate coffeehouse settings and larger festival stages.","Growing up in the Midwest, Ryan Lee developed a deep connection to natural spaces and became increasingly concerned about environmental degradation, particularly issues related to plastic pollution reduction. They view music as a powerful tool for environmental education and community mobilization, seeking to collaborate with organizations that share their commitment to environmental conservation. Ryan Lee believes that artists can play a crucial role in communicating the urgency of environmental challenges while inspiring hope and collective action."
Xavier Brooks,Folk,xavier.brooks@gmail.com,"Evanston, IL",Social Justice,xavierbrooks,"Xavier Brooks is a folk artist from Evanston, IL who weaves storytelling traditions with contemporary social commentary through acoustic melodies and heartfelt lyrics. Their music draws inspiration from midwest prairie landscapes and urban community experiences, creating authentic connections with audiences across diverse venues. With influences ranging from traditional American folk to modern indie-folk, Xavier Brooks crafts songs that resonate with both intimate coffeehouse settings and larger festival stages.","Xavier Brooks's commitment to social justice stems from personal experiences with inequality and a deep belief that music can be a catalyst for positive social change, particularly in addressing systemic racism. They recognize the platform that comes with being a musician and feel a moral obligation to use their voice to advocate for marginalized communities and systemic reform. Through collaborations with nonprofits working on systemic racism, Xavier Brooks aims to create meaningful dialogue and inspire concrete action for justice."
Indigo Cox,Folk,cox.indigo@yahoo.com,"Evanston, IL",Economic Justice,cox_music,"Indigo Cox is a folk artist from Evanston, IL who weaves storytelling traditions with contemporary social commentary through acoustic melodies and heartfelt lyrics. Their music draws inspiration from midwest prairie landscapes and urban community experiences, creating authentic connections with audiences across diverse venues. With influences ranging from traditional American folk to modern indie-folk, Indigo Cox crafts songs that resonate with both intimate coffeehouse settings and larger festival stages.","Indigo Cox is deeply committed to economic justice because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like minimum wage advocacy. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on minimum wage advocacy, Indigo Cox hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Rosa Hughes,Folk,rosa_hughes@hotmail.com,"Oak Park, IL",Arts Education,rosa_sounds,"Based in Oak Park, IL, Rosa Hughes combines traditional folk instrumentation with innovative songwriting techniques that reflect the cultural richness of the American Midwest. Their performances blend personal narratives with universal themes of love, loss, and social consciousness, creating emotionally resonant experiences for listeners. Rosa Hughes's commitment to authentic storytelling and acoustic craftsmanship has earned recognition in the regional music scene and beyond.","Rosa Hughes is deeply committed to arts education because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like music therapy. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on music therapy, Rosa Hughes hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Parker King,Folk,parker.king@hotmail.com,"Schaumburg, IL",Healthcare Access,parkerking,"Parker King is a folk artist from Schaumburg, IL who weaves storytelling traditions with contemporary social commentary through acoustic melodies and heartfelt lyrics. Their music draws inspiration from midwest prairie landscapes and urban community experiences, creating authentic connections with audiences across diverse venues. With influences ranging from traditional American folk to modern indie-folk, Parker King crafts songs that resonate with both intimate coffeehouse settings and larger festival stages.","Parker King is deeply committed to healthcare access because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like preventive care. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on preventive care, Parker King hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Emma Myers,Rock,emma.myers.music@icloud.com,"Naperville, IL",Arts Education,emmamyers,"Emerging from the vibrant music scene of Naperville, IL, Emma Myers creates rock music that balances technical proficiency with emotional depth and social awareness. Their compositions feature intricate guitar work, driving rhythms, and vocals that range from intimate whispers to soaring anthems. Emma Myers draws inspiration from both the industrial heritage and natural beauty of the Midwest, crafting songs that speak to contemporary struggles and aspirations.","Emma Myers is deeply committed to arts education because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like music therapy. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on music therapy, Emma Myers hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Drew Bennett,Rock,bennett.drew@yahoo.com,"Chicago, IL",Community Development,drewbennett,"Emerging from the vibrant music scene of Chicago, IL, Drew Bennett creates rock music that balances technical proficiency with emotional depth and social awareness. Their compositions feature intricate guitar work, driving rhythms, and vocals that range from intimate whispers to soaring anthems. Drew Bennett draws inspiration from both the industrial heritage and natural beauty of the Midwest, crafting songs that speak to contemporary struggles and aspirations.","Drew Bennett is deeply committed to community development because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like community organizing. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on community organizing, Drew Bennett hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Victor Green,Rock,victor_green@gmail.com,"Oak Park, IL",Community Development,green_music,"Emerging from the vibrant music scene of Oak Park, IL, Victor Green creates rock music that balances technical proficiency with emotional depth and social awareness. Their compositions feature intricate guitar work, driving rhythms, and vocals that range from intimate whispers to soaring anthems. Victor Green draws inspiration from both the industrial heritage and natural beauty of the Midwest, crafting songs that speak to contemporary struggles and aspirations.","Victor Green is deeply committed to community development because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like neighborhood revitalization. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on neighborhood revitalization, Victor Green hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Sofia Ross,Rock,sofiaross@outlook.com,"Oak Park, IL",Immigration Rights,sofia_ross,"Emerging from the vibrant music scene of Oak Park, IL, Sofia Ross creates rock music that balances technical proficiency with emotional depth and social awareness. Their compositions feature intricate guitar work, driving rhythms, and vocals that range from intimate whispers to soaring anthems. Sofia Ross draws inspiration from both the industrial heritage and natural beauty of the Midwest, crafting songs that speak to contemporary struggles and aspirations.","Sofia Ross is deeply committed to immigration rights because they believe artists have a unique responsibility to use their platform for positive social impact, particularly in addressing critical issues like pathway to citizenship. Their personal experiences and observations of community needs have strengthened their conviction that music can be a powerful force for awareness, healing, and mobilization around important causes. Through partnerships with nonprofits working on pathway to citizenship, Sofia Ross hopes to contribute meaningfully to creating positive change while inspiring others to get involved in their communities."
Antonio Jenkins,Rock,jenkins.antonio@yahoo.com,"Aurora, IL",Social Justice,antonio.jenkins,"Emerging from the vibrant music scene of Aurora, IL, Antonio Jenkins creates rock music that balances technical proficiency with emotional depth and social awareness. Their compositions feature intricate guitar work, driving rhythms, and vocals that range from intimate whispers to soaring anthems. Antonio Jenkins draws inspiration from both the industrial heritage and natural beauty of the Midwest, crafting songs that speak to contemporary struggles and aspirations.","Having witnessed the impact of voting rights in their community, Antonio Jenkins is driven to support social justice organizations that work toward creating more equitable systems and opportunities. They believe music has the unique ability to build empathy, bridge divides, and mobilize people around shared values of fairness and human dignity. Antonio Jenkins seeks partnerships with nonprofits that align with their vision of using artistic expression to advance social justice and community healing."
